instance,q1,q2,kind,rank,value,originator,date,group_url,artifact_url
umps14,6,3,upper_bound,3,163933,Toffolo et al.,2017-07-22,https://benchmark.gent.cs.kuleuven.be/tup/en/results/solution_group/52.html,https://benchmark.gent.cs.kuleuven.be/tup/media/solutions/52/umps14_6_3.txt
umps14,6,2,lower_bound,1,145124.0,Toffolo et al.,2015-02-03,https://benchmark.gent.cs.kuleuven.be/tup/en/results/bound_group/25.html,
umps14,6,2,upper_bound,1,145124,Toffolo et al.,2015-02-03,https://benchmark.gent.cs.kuleuven.be/tup/en/results/solution_group/14.html,https://benchmark.gent.cs.kuleuven.be/tup/media/solutions/14/umps14_6_2.txt
umps14,5,3,lower_bound,1,154962.0,Xue et al.,2014-03-21,https://benchmark.gent.cs.kuleuven.be/tup/en/results/bound_group/26.html,
umps14,5,3,lower_bound,2,153759.6,Toffolo et al.,2014-02-28,https://benchmark.gent.cs.kuleuven.be/tup/en/results/bound_group/17.html,
umps14,5,3,lower_bound,3,153066.0,Wauters et al.,2013-11-05,https://benchmark.gent.cs.kuleuven.be/tup/en/results/bound_group/19.html,
umps14,5,3,upper_bound,1,154962,Xue et al.,2014-03-21,https://benchmark.gent.cs.kuleuven.be/tup/en/results/solution_group/45.html,
umps14,5,3,upper_bound,2,155392,Toffolo et al.,2014-02-28,https://benchmark.gent.cs.kuleuven.be/tup/en/results/solution_group/34.html,
umps14,5,3,upper_bound,3,155893,Wauters et al.,2013-11-05,https://benchmark.gent.cs.kuleuven.be/tup/en/results/solution_group/36.html,
umps14,5,2,lower_bound,1,143357.0,Toffolo et al.,2015-02-03,https://benchmark.gent.cs.kuleuven.be/tup/en/results/bound_group/25.html,
umps14,5,2,upper_bound,1,143357,Toffolo et al.,2015-02-03,https://benchmark.gent.cs.kuleuven.be/tup/en/results/solution_group/14.html,https://benchmark.gent.cs.kuleuven.be/tup/media/solutions/14/umps14_5_2.txt
umps14A,8,3,lower_bound,1,166184.0,Toffolo et al.,2015-02-03,https://benchmark.gent.cs.kuleuven.be/tup/en/results/bound_group/25.html,
umps14A,8,3,upper_bound,1,166184,Toffolo et al.,2015-02-03,https://benchmark.gent.cs.kuleuven.be/tup/en/results/solution_group/14.html,https://benchmark.gent.cs.kuleuven.be/tup/media/solutions/14/umps14A_8_3.txt
umps14A,8,2,lower_bound,1,143043.0,Toffolo et al.,2015-02-03,https://benchmark.gent.cs.kuleuven.be/tup/en/results/bound_group/25.html,
umps14A,8,2,upper_bound,1,143043,Toffolo et al.,2015-02-03,https://benchmark.gent.cs.kuleuven.be/tup/en/results/solution_group/14.html,https://benchmark.gent.cs.kuleuven.be/tup/media/solutions/14/umps14A_8_2.txt
umps14A,7,3,lower_bound,1,158760.0,Toffolo et al.,2015-02-03,https://benchmark.gent.cs.kuleuven.be/tup/en/results/bound_group/25.html,
umps14A,7,3,lower_bound,2,153199.0,Wauters et al.,2013-11-05,https://benchmark.gent.cs.kuleuven.be/tup/en/results/bound_group/19.html,
umps14A,7,3,lower_bound,3,133279.0,Trick et al.,2011-10-17,https://benchmark.gent.cs.kuleuven.be/tup/en/results/bound_group/10.html,
umps14A,7,3,upper_bound,1,158760,Wauters et al.,2013-11-05,https://benchmark.gent.cs.kuleuven.be/tup/en/results/solution_group/36.html,
umps14A,7,3,upper_bound,2,166329,Toffolo et al.,2017-07-22,https://benchmark.gent.cs.kuleuven.be/tup/en/results/solution_group/52.html,https://benchmark.gent.cs.kuleuven.be/tup/media/solutions/52/umps14A_7_3.txt
umps14A,7,3,upper_bound,3,175898,Trick et al.,2011-10-17,https://benchmark.gent.cs.kuleuven.be/tup/en/results/solution_group/27.html,
umps14A,7,2,lower_bound,1,140562.0,Toffolo et al.,2015-02-03,https://benchmark.gent.cs.kuleuven.be/tup/en/results/bound_group/25.html,
umps14A,7,2,upper_bound,1,140562,Toffolo et al.,2015-02-03,https://benchmark.gent.cs.kuleuven.be/tup/en/results/solution_group/14.html,https://benchmark.gent.cs.kuleuven.be/tup/media/solutions/14/umps14A_7_2.txt
umps14A,6,3,lower_bound,1,152981.0,Toffolo et al.,2015-02-03,https://benchmark.gent.cs.kuleuven.be/tup/en/results/bound_group/25.html,
umps14A,6,3,lower_bound,2,151043.2,Xue et al.,2014-03-21,https://benchmark.gent.cs.kuleuven.be/tup/en/results/bound_group/26.html,
umps14A,6,3,lower_bound,3,150998.0,Wauters et al.,2013-11-05,https://benchmark.gent.cs.kuleuven.be/tup/en/results/bound_group/19.html,
umps14A,6,3,upper_bound,1,152981,Toffolo et al.,2015-02-03,https://benchmark.gent.cs.kuleuven.be/tup/en/results/solution_group/14.html,https://benchmark.gent.cs.kuleuven.be/tup/media/solutions/14/umps14A_6_3.txt
umps14A,6,3,upper_bound,2,153216,Wauters et al.,2013-11-05,https://benchmark.gent.cs.kuleuven.be/tup/en/results/solution_group/36.html,
umps14A,6,3,upper_bound,3,157917,Toffolo et al.,2017-07-22,https://benchmark.gent.cs.kuleuven.be/tup/en/results/solution_group/52.html,https://benchmark.gent.cs.kuleuven.be/tup/media/solutions/52/umps14A_6_3.txt
umps14A,6,2,lower_bound,1,138927.0,Toffolo et al.,2015-02-03,https://benchmark.gent.cs.kuleuven.be/tup/en/results/bound_group/25.html,
umps14A,6,2,upper_bound,1,138927,Toffolo et al.,2015-02-03,https://benchmark.gent.cs.kuleuven.be/tup/en/results/solution_group/14.html,https://benchmark.gent.cs.kuleuven.be/tup/media/solutions/14/umps14A_6_2.txt
umps14A,5,3,lower_bound,1,149331.0,Xue et al.,2014-03-21,https://benchmark.gent.cs.kuleuven.be/tup/en/results/bound_group/26.html,
umps14A,5,3,lower_bound,2,148299.0,Wauters et al.,2013-11-05,https://benchmark.gent.cs.kuleuven.be/tup/en/results/bound_group/19.html,
umps14A,5,3,lower_bound,3,143504.0,Oliveira et al.,2013-08-28,https://benchmark.gent.cs.kuleuven.be/tup/en/results/bound_group/18.html,
umps14A,5,3,upper_bound,1,149331,Xue et al.,2014-03-21,https://benchmark.gent.cs.kuleuven.be/tup/en/results/solution_group/45.html,
umps14A,5,3,upper_bound,2,150386,Toffolo et al.,2014-02-28,https://benchmark.gent.cs.kuleuven.be/tup/en/results/solution_group/34.html,
umps14A,5,3,upper_bound,3,150698,Wauters et al.,2013-11-05,https://benchmark.gent.cs.kuleuven.be/tup/en/results/solution_group/36.html,
umps14A,5,2,lower_bound,1,137853.0,Toffolo et al.,2015-02-03,https://benchmark.gent.cs.kuleuven.be/tup/en/results/bound_group/25.html,
umps14A,5,2,upper_bound,1,137853,Toffolo et al.,2015-02-03,https://benchmark.gent.cs.kuleuven.be/tup/en/results/solution_group/14.html,https://benchmark.gent.cs.kuleuven.be/tup/media/solutions/14/umps14A_5_2.txt
umps14B,8,3,lower_bound,1,165026.0,Toffolo et al.,2015-02-03,https://benchmark.gent.cs.kuleuven.be/tup/en/results/bound_group/25.html,
umps14B,8,3,upper_bound,1,165026,Toffolo et al.,2015-02-03,https://benchmark.gent.cs.kuleuven.be/tup/en/results/solution_group/14.html,https://benchmark.gent.cs.kuleuven.be/tup/media/solutions/14/umps14B_8_3.txt
umps14B,8,2,lower_bound,1,141312.0,Toffolo et al.,2015-02-03,https://benchmark.gent.cs.kuleuven.be/tup/en/results/bound_group/25.html,
umps14B,8,2,upper_bound,1,141312,Toffolo et al.,2015-02-03,https://benchmark.gent.cs.kuleuven.be/tup/en/results/solution_group/14.html,https://benchmark.gent.cs.kuleuven.be/tup/media/solutions/14/umps14B_8_2.txt
umps14B,7,3,lower_bound,1,157884.0,Toffolo et al.,2015-02-03,https://benchmark.gent.cs.kuleuven.be/tup/en/results/bound_group/25.html,
umps14B,7,3,lower_bound,2,152517.6,Xue et al.,2014-03-21,https://benchmark.gent.cs.kuleuven.be/tup/en/results/bound_group/26.html,
umps14B,7,3,lower_bound,3,151165.8,Toffolo et al.,2014-02-28,https://benchmark.gent.cs.kuleuven.be/tup/en/results/bound_group/17.html,
umps14B,7,3,upper_bound,1,157884,Wauters et al.,2013-11-05,https://benchmark.gent.cs.kuleuven.be/tup/en/results/solution_group/36.html,
umps14B,7,3,upper_bound,2,165421,Toffolo et al.,2017-07-22,https://benchmark.gent.cs.kuleuven.be/tup/en/results/solution_group/52.html,https://benchmark.gent.cs.kuleuven.be/tup/media/solutions/52/umps14B_7_3.txt
umps14B,7,3,upper_bound,3,172302,Trick et al.,2011-10-17,https://benchmark.gent.cs.kuleuven.be/tup/en/results/solution_group/27.html,
umps14B,7,2,lower_bound,1,138998.0,Toffolo et al.,2015-02-03,https://benchmark.gent.cs.kuleuven.be/tup/en/results/bound_group/25.html,
umps14B,7,2,upper_bound,1,138998,Toffolo et al.,2015-02-03,https://benchmark.gent.cs.kuleuven.be/tup/en/results/solution_group/14.html,https://benchmark.gent.cs.kuleuven.be/tup/media/solutions/14/umps14B_7_2.txt
umps14B,6,3,lower_bound,1,152740.0,Toffolo et al.,2015-02-03,https://benchmark.gent.cs.kuleuven.be/tup/en/results/bound_group/25.html,
umps14B,6,3,lower_bound,2,150941.3,Xue et al.,2014-03-21,https://benchmark.gent.cs.kuleuven.be/tup/en/results/bound_group/26.html,
umps14B,6,3,lower_bound,3,149267.0,Wauters et al.,2013-11-05,https://benchmark.gent.cs.kuleuven.be/tup/en/results/bound_group/19.html,
umps14B,6,3,upper_bound,1,152740,Wauters et al.,2013-11-05,https://benchmark.gent.cs.kuleuven.be/tup/en/results/solution_group/36.html,
umps14B,6,3,upper_bound,2,156659,Toffolo et al.,2017-07-22,https://benchmark.gent.cs.kuleuven.be/tup/en/results/solution_group/52.html,https://benchmark.gent.cs.kuleuven.be/tup/media/solutions/52/umps14B_6_3.txt
umps14B,6,3,upper_bound,3,158050,Oliveira et al.,2013-08-28,https://benchmark.gent.cs.kuleuven.be/tup/en/results/solution_group/35.html,
umps14B,6,2,lower_bound,1,138241.0,Toffolo et al.,2015-02-03,https://benchmark.gent.cs.kuleuven.be/tup/en/results/bound_group/25.html,
umps14B,6,2,upper_bound,1,138241,Toffolo et al.,2015-02-03,https://benchmark.gent.cs.kuleuven.be/tup/en/results/solution_group/14.html,https://benchmark.gent.cs.kuleuven.be/tup/media/solutions/14/umps14B_6_2.txt
umps14B,5,3,lower_bound,1,149455.0,Oliveira et al.,2014-09-03,https://benchmark.gent.cs.kuleuven.be/tup/en/results/bound_group/31.html,
umps14B,5,3,lower_bound,2,149455.0,Toffolo et al.,2015-02-03,https://benchmark.gent.cs.kuleuven.be/tup/en/results/bound_group/25.html,
umps14B,5,3,lower_bound,3,149311.6,Xue et al.,2014-03-21,https://benchmark.gent.cs.kuleuven.be/tup/en/results/bound_group/26.html,
umps14B,5,3,upper_bound,1,149455,Oliveira et al.,2014-09-03,https://benchmark.gent.cs.kuleuven.be/tup/en/results/solution_group/46.html,https://benchmark.gent.cs.kuleuven.be/tup/media/solutions/46/umps14B_5_3.txt
umps14B,5,3,upper_bound,2,149455,Toffolo et al.,2015-02-03,https://benchmark.gent.cs.kuleuven.be/tup/en/results/solution_group/14.html,https://benchmark.gent.cs.kuleuven.be/tup/media/solutions/14/umps14B_5_3.txt
umps14B,5,3,upper_bound,3,149621,Wauters et al.,2013-11-05,https://benchmark.gent.cs.kuleuven.be/tup/en/results/solution_group/36.html,
umps14B,5,2,lower_bound,1,136069.0,Toffolo et al.,2015-02-03,https://benchmark.gent.cs.kuleuven.be/tup/en/results/bound_group/25.html,
umps14B,5,2,upper_bound,1,136069,Toffolo et al.,2015-02-03,https://benchmark.gent.cs.kuleuven.be/tup/en/results/solution_group/14.html,https://benchmark.gent.cs.kuleuven.be/tup/media/solutions/14/umps14B_5_2.txt
umps14C,8,3,lower_bound,1,161262.0,Toffolo et al.,2015-02-03,https://benchmark.gent.cs.kuleuven.be/tup/en/results/bound_group/25.html,
umps14C,8,3,upper_bound,1,161262,Toffolo et al.,2015-02-03,https://benchmark.gent.cs.kuleuven.be/tup/en/results/solution_group/14.html,https://benchmark.gent.cs.kuleuven.be/tup/media/solutions/14/umps14C_8_3.txt
umps14C,8,2,lower_bound,1,141015.0,Toffolo et al.,2015-02-03,https://benchmark.gent.cs.kuleuven.be/tup/en/results/bound_group/25.html,
umps14C,8,2,upper_bound,1,141015,Toffolo et al.,2015-02-03,https://benchmark.gent.cs.kuleuven.be/tup/en/results/solution_group/14.html,https://benchmark.gent.cs.kuleuven.be/tup/media/solutions/14/umps14C_8_2.txt
umps14C,7,3,lower_bound,1,154913.0,Toffolo et al.,2015-02-03,https://benchmark.gent.cs.kuleuven.be/tup/en/results/bound_group/25.html,
umps14C,7,3,lower_bound,2,151581.0,Wauters et al.,2013-11-05,https://benchmark.gent.cs.kuleuven.be/tup/en/results/bound_group/19.html,
umps14C,7,3,lower_bound,3,126843.0,Trick et al.,2011-10-17,https://benchmark.gent.cs.kuleuven.be/tup/en/results/bound_group/10.html,
umps14C,7,3,upper_bound,1,154913,Wauters et al.,2013-11-05,https://benchmark.gent.cs.kuleuven.be/tup/en/results/solution_group/36.html,
umps14C,7,3,upper_bound,2,164360,Toffolo et al.,2017-07-22,https://benchmark.gent.cs.kuleuven.be/tup/en/results/solution_group/52.html,https://benchmark.gent.cs.kuleuven.be/tup/media/solutions/52/umps14C_7_3.txt
umps14C,7,3,upper_bound,3,188945,Trick et al.,2011-10-17,https://benchmark.gent.cs.kuleuven.be/tup/en/results/solution_group/27.html,
umps14C,7,2,lower_bound,1,138832.0,Toffolo et al.,2015-02-03,https://benchmark.gent.cs.kuleuven.be/tup/en/results/bound_group/25.html,
umps14C,7,2,upper_bound,1,138832,Toffolo et al.,2015-02-03,https://benchmark.gent.cs.kuleuven.be/tup/en/results/solution_group/14.html,https://benchmark.gent.cs.kuleuven.be/tup/media/solutions/14/umps14C_7_2.txt
umps14C,6,3,lower_bound,1,150858.0,Toffolo et al.,2015-02-03,https://benchmark.gent.cs.kuleuven.be/tup/en/results/bound_group/25.html,
umps14C,6,3,lower_bound,2,148986.5,Xue et al.,2014-03-21,https://benchmark.gent.cs.kuleuven.be/tup/en/results/bound_group/26.html,
umps14C,6,3,lower_bound,3,148728.0,Wauters et al.,2013-11-05,https://benchmark.gent.cs.kuleuven.be/tup/en/results/bound_group/19.html,
umps14C,6,3,upper_bound,1,150858,Wauters et al.,2013-11-05,https://benchmark.gent.cs.kuleuven.be/tup/en/results/solution_group/36.html,
umps14C,6,3,upper_bound,2,153542,Toffolo et al.,2017-07-22,https://benchmark.gent.cs.kuleuven.be/tup/en/results/solution_group/52.html,https://benchmark.gent.cs.kuleuven.be/tup/media/solutions/52/umps14C_6_3.txt
umps14C,6,3,upper_bound,3,153841,Oliveira et al.,2013-08-28,https://benchmark.gent.cs.kuleuven.be/tup/en/results/solution_group/35.html,
umps14C,6,2,lower_bound,1,136394.0,Toffolo et al.,2015-02-03,https://benchmark.gent.cs.kuleuven.be/tup/en/results/bound_group/25.html,
umps14C,6,2,upper_bound,1,136394,Toffolo et al.,2015-02-03,https://benchmark.gent.cs.kuleuven.be/tup/en/results/solution_group/14.html,https://benchmark.gent.cs.kuleuven.be/tup/media/solutions/14/umps14C_6_2.txt
umps14C,5,3,lower_bound,1,148349.0,Toffolo et al.,2015-02-03,https://benchmark.gent.cs.kuleuven.be/tup/en/results/bound_group/25.html,
umps14C,5,3,lower_bound,2,147902.9,Xue et al.,2014-03-21,https://benchmark.gent.cs.kuleuven.be/tup/en/results/bound_group/26.html,
umps14C,5,3,lower_bound,3,146764.0,Wauters et al.,2013-11-05,https://benchmark.gent.cs.kuleuven.be/tup/en/results/bound_group/19.html,
umps14C,5,3,upper_bound,1,148349,Toffolo et al.,2015-02-03,https://benchmark.gent.cs.kuleuven.be/tup/en/results/solution_group/14.html,https://benchmark.gent.cs.kuleuven.be/tup/media/solutions/14/umps14C_5_3.txt
umps14C,5,3,upper_bound,2,149482,Toffolo et al.,2014-02-28,https://benchmark.gent.cs.kuleuven.be/tup/en/results/solution_group/34.html,
umps14C,5,3,upper_bound,3,150130,Wauters et al.,2013-11-05,https://benchmark.gent.cs.kuleuven.be/tup/en/results/solution_group/36.html,
umps14C,5,2,lower_bound,1,134916.0,Toffolo et al.,2015-02-03,https://benchmark.gent.cs.kuleuven.be/tup/en/results/bound_group/25.html,
umps14C,5,2,upper_bound,1,134916,Toffolo et al.,2015-02-03,https://benchmark.gent.cs.kuleuven.be/tup/en/results/solution_group/14.html,https://benchmark.gent.cs.kuleuven.be/tup/media/solutions/14/umps14C_5_2.txt
umps16,8,4,lower_bound,1,193457.1,Toffolo et al.,2014-02-28,https://benchmark.gent.cs.kuleuven.be/tup/en/results/bound_group/17.html,
umps16,8,4,lower_bound,2,185939.0,Wauters et al.,2013-11-05,https://benchmark.gent.cs.kuleuven.be/tup/en/results/bound_group/19.html,
umps16,8,4,lower_bound,3,134471.0,Trick et al.,2011-10-17,https://benchmark.gent.cs.kuleuven.be/tup/en/results/bound_group/10.html,
umps16,8,4,upper_bound,1,infeasible,Toffolo et al.,2014-02-28,https://benchmark.gent.cs.kuleuven.be/tup/en/results/solution_group/34.html,
umps16,8,3,lower_bound,1,162902.0,Toffolo et al.,2015-02-03,https://benchmark.gent.cs.kuleuven.be/tup/en/results/bound_group/25.html,
umps16,8,3,upper_bound,1,189415,Toffolo et al.,2015-02-03,https://benchmark.gent.cs.kuleuven.be/tup/en/results/solution_group/14.html,https://benchmark.gent.cs.kuleuven.be/tup/media/solutions/14/umps16_8_3.txt
umps16,8,2,lower_bound,1,156088.1,Xue et al.,2014-03-21,https://benchmark.gent.cs.kuleuven.be/tup/en/results/bound_group/26.html,
umps16,8,2,lower_bound,2,155045.2,Toffolo et al.,2014-02-28,https://benchmark.gent.cs.kuleuven.be/tup/en/results/bound_group/17.html,
umps16,8,2,lower_bound,3,151481.0,Wauters et al.,2013-11-05,https://benchmark.gent.cs.kuleuven.be/tup/en/results/bound_group/19.html,
umps16,8,2,upper_bound,1,161999,Toffolo et al.,2014-02-28,https://benchmark.gent.cs.kuleuven.be/tup/en/results/solution_group/34.html,
umps16,8,2,upper_bound,2,164665,Toffolo et al.,2017-07-22,https://benchmark.gent.cs.kuleuven.be/tup/en/results/solution_group/52.html,https://benchmark.gent.cs.kuleuven.be/tup/media/solutions/52/umps16_8_2.txt
umps16,8,2,upper_bound,3,165638,Wauters et al.,2013-11-05,https://benchmark.gent.cs.kuleuven.be/tup/en/results/solution_group/36.html,
umps16,7,4,lower_bound,1,197028.0,Toffolo et al.,2015-02-03,https://benchmark.gent.cs.kuleuven.be/tup/en/results/bound_group/25.html,
umps16,7,4,upper_bound,1,197028,Toffolo et al.,2015-02-03,https://benchmark.gent.cs.kuleuven.be/tup/en/results/solution_group/14.html,https://benchmark.gent.cs.kuleuven.be/tup/media/solutions/14/umps16_7_4.txt
umps16,7,3,lower_bound,1,165765.0,Toffolo et al.,2015-02-03,https://benchmark.gent.cs.kuleuven.be/tup/en/results/bound_group/25.html,
umps16,7,3,lower_bound,2,160161.3,Xue et al.,2014-03-21,https://benchmark.gent.cs.kuleuven.be/tup/en/results/bound_group/26.html,
umps16,7,3,lower_bound,3,158586.0,Toffolo et al.,2014-02-28,https://benchmark.gent.cs.kuleuven.be/tup/en/results/bound_group/17.html,
umps16,7,3,upper_bound,1,165765,Toffolo et al.,2015-02-03,https://benchmark.gent.cs.kuleuven.be/tup/en/results/solution_group/14.html,https://benchmark.gent.cs.kuleuven.be/tup/media/solutions/14/umps16_7_3.txt
umps16,7,3,upper_bound,2,168860,Wauters et al.,2013-11-05,https://benchmark.gent.cs.kuleuven.be/tup/en/results/solution_group/36.html,
